	340.01948051948057	171.70779220779218
	320.53896103896113	235.99350649350652
	291.31818181818187	259.37012987012986
	281.57792207792215	347.03246753246754
	306.9025974025974	393.7857142857143
	343.9155844155845	619.7597402597403
	355.6038961038962	645.0844155844156
	365.3441558441559	621.7077922077922
	382.87662337662346	588.5909090909091
	394.56493506493507	393.7857142857143
	423.78571428571433	350.9285714285714
	402.3571428571429	251.57792207792204
	361.448051948052	237.9415584415584
	345.8636363636364	142.48701298701292
	408.2012987012988	80.1493506493506
	474.43506493506504	144.43506493506493
	273.78571428571433	563.2662337662338
	507.5519480519481	565.2142857142858
